Ativo,Ativo Circulante,Cart. de Crédito,Depósitos,Disponibilidades,Dív. Bruta,Dív. Líquida,Patrim. Líq,ticker
12929700000.0,1020620000.0,,,690276000.0,1791330000.0,1101060000.0,7144910000.0,CESP5
12929700000.0,1020620000.0,,,690276000.0,1791330000.0,1101060000.0,7144910000.0,CESP6
8451720000.0,2792060000.0,,,1083410000.0,5244940000.0,4161530000.0,519508000.0,CGAS3
8451720000.0,2792060000.0,,,1083410000.0,5244940000.0,4161530000.0,519508000.0,CGAS5
776108000.0,303448000.0,,,45856300.0,0.0,-45856300.0,530643000.0,CGRA3
776108000.0,303448000.0,,,45856300.0,0.0,-45856300.0,530643000.0,CGRA4
93422300000.0,76675500000.0,,,3255440000.0,9245630000.0,5990200000.0,11392600000.0,CIEL3
10812300000.0,3950820000.0,,,627337000.0,1529360000.0,902028000.0,2025410000.0,CLSC3
10812300000.0,3950820000.0,,,627337000.0,1529360000.0,902028000.0,2025410000.0,CLSC4
50062700000.0,10297600000.0,,,1558450000.0,15184300000.0,13625900000.0,17207300000.0,CMIG3
50062700000.0,10297600000.0,,,1558450000.0,15184300000.0,13625900000.0,17207300000.0,CMIG4
3323220000.0,1146940000.0,,,45432000.0,35039000.0,-10393000.0,991151000.0,CNTO3
8664710000.0,2159730000.0,,,168638000.0,2184430000.0,2015800000.0,3114050000.0,COCE3
8664710000.0,2159730000.0,,,168638000.0,2184430000.0,2015800000.0,3114050000.0,COCE5
32712800000.0,3916250000.0,,,420151000.0,11294200000.0,10874100000.0,16062500000.0,COGN3
44624300000.0,11068200000.0,,,3231730000.0,20351400000.0,17119700000.0,13649400000.0,CPFE3
36725200000.0,6748400000.0,,,2027920000.0,10938200000.0,8910250000.0,17451900000.0,CPLE3
36725200000.0,6748400000.0,,,2027920000.0,10938200000.0,8910250000.0,17451900000.0,CPLE6
11833600000.0,1381620000.0,,,912510000.0,5170780000.0,4258270000.0,4432400000.0,CPRE3
180937000.0,51744000.0,,,27023000.0,0.0,-27023000.0,158573000.0,CRDE3
44912000000.0,22155000000.0,,,5609000000.0,4484000000.0,-1125000000.0,13504000000.0,CRFB3
5968130000.0,,4624200000.0,4315920000.0,,,,942527000.0,CRIV3
5968130000.0,,4624200000.0,4315920000.0,,,,942527000.0,CRIV4
754297000.0,596031000.0,,,181920000.0,2620000.0,-179300000.0,582094000.0,CRPG3
754297000.0,596031000.0,,,181920000.0,2620000.0,-179300000.0,582094000.0,CRPG5
754297000.0,596031000.0,,,181920000.0,2620000.0,-179300000.0,582094000.0,CRPG6
0.0,0.0,,,0.0,0.0,0.0,0.0,CSAB3
0.0,0.0,,,0.0,0.0,0.0,0.0,CSAB4
32865100000.0,11336700000.0,,,6076640000.0,13415000000.0,7338310000.0,10553700000.0,CSAN3
11457700000.0,1905990000.0,,,494249000.0,3366470000.0,2872220000.0,6609220000.0,CSMG3
50897500000.0,12968600000.0,,,2592020000.0,29277300000.0,26685300000.0,8838390000.0,CSNA3
4062420000.0,942677000.0,,,243703000.0,1682560000.0,1438850000.0,1052220000.0,CSRN3
4062420000.0,942677000.0,,,243703000.0,1682560000.0,1438850000.0,1052220000.0,CSRN5
4062420000.0,942677000.0,,,243703000.0,1682560000.0,1438850000.0,1052220000.0,CSRN6
363025000.0,210626000.0,,,12663000.0,570653000.0,557990000.0,-335439000.0,CTKA3
363025000.0,210626000.0,,,12663000.0,570653000.0,557990000.0,-335439000.0,CTKA4
4345160000.0,1578620000.0,,,240186000.0,1535170000.0,1294990000.0,1028930000.0,CTNM3
4345160000.0,1578620000.0,,,240186000.0,1535170000.0,1294990000.0,1028930000.0,CTNM4
612741000.0,269370000.0,,,9569000.0,249797000.0,240228000.0,286680000.0,CTSA3
612741000.0,269370000.0,,,9569000.0,249797000.0,240228000.0,286680000.0,CTSA4
6931810000.0,5026740000.0,,,411883000.0,1542310000.0,1130430000.0,1370930000.0,CVCB3
9971370000.0,5750560000.0,,,1490460000.0,2436590000.0,946137000.0,5112190000.0,CYRE3
8919710000.0,2246730000.0,,,763313000.0,2668860000.0,1905540000.0,3569130000.0,DASA3
4670510000.0,2408810000.0,,,820075000.0,923156000.0,103081000.0,1302000000.0,DIRR3
1433110000.0,236050000.0,,,175355000.0,0.0,-175355000.0,-474698000.0,DMMO3
736848000.0,362419000.0,,,64072000.0,33551000.0,-30521000.0,575310000.0,DOHL3
736848000.0,362419000.0,,,64072000.0,33551000.0,-30521000.0,575310000.0,DOHL4
30398000.0,5476000.0,,,987000.0,4959000.0,3972000.0,-882000.0,DTCY3
10714700000.0,3514050000.0,,,1243220000.0,2948540000.0,1705320000.0,4930860000.0,DTEX3
370647000.0,127456000.0,,,12443000.0,82111000.0,69668000.0,165525000.0,EALT3
370647000.0,127456000.0,,,12443000.0,82111000.0,69668000.0,165525000.0,EALT4
11542500000.0,2327040000.0,,,2018540000.0,8679110000.0,6660570000.0,455351000.0,ECOR3
310615000.0,3164000.0,,,1275000.0,0.0,-1275000.0,195042000.0,ECPR3
310615000.0,3164000.0,,,1275000.0,0.0,-1275000.0,195042000.0,ECPR4
30135600000.0,6745670000.0,,,3870260000.0,14763100000.0,10892800000.0,6995150000.0,EGIE3
